--- Starting Multi-Seed Training for Seeds: [9006] ---

=======================================================
  Training Seed 9006 on Device: cuda
=======================================================
Seed 9006 | Epoch 425/1220 | Avg R: 0.0179 | Val Loss: 0.0005 | KL: 0.0218 | LinErr: 0.788 | YawErr: 0.290 | |A|: 0.369 | R>0: 96.34% | Done: 0.00% | Sigma: 0.362 | Steps: 69632000 | Time: 4761.2s
Seed 9006 | Epoch 430/1220 | Avg R: 0.0182 | Val Loss: 0.0004 | KL: 0.0212 | LinErr: 0.776 | YawErr: 0.277 | |A|: 0.371 | R>0: 96.67% | Done: 0.01% | Sigma: 0.363 | Steps: 70451200 | Time: 4815.7s
Seed 9006 | Epoch 435/1220 | Avg R: 0.0185 | Val Loss: 0.0004 | KL: 0.0211 | LinErr: 0.764 | YawErr: 0.275 | |A|: 0.362 | R>0: 96.70% | Done: 0.00% | Sigma: 0.365 | Steps: 71270400 | Time: 4871.4s
Seed 9006 | Epoch 440/1220 | Avg R: 0.0187 | Val Loss: 0.0005 | KL: 0.0202 | LinErr: 0.753 | YawErr: 0.262 | |A|: 0.359 | R>0: 96.97% | Done: 0.00% | Sigma: 0.367 | Steps: 72089600 | Time: 4926.8s
Seed 9006 | Epoch 445/1220 | Avg R: 0.0189 | Val Loss: 0.0005 | KL: 0.0180 | LinErr: 0.748 | YawErr: 0.257 | |A|: 0.358 | R>0: 96.85% | Done: 0.00% | Sigma: 0.368 | Steps: 72908800 | Time: 4982.3s
Seed 9006 | Epoch 450/1220 | Avg R: 0.0190 | Val Loss: 0.0004 | KL: 0.0204 | LinErr: 0.742 | YawErr: 0.243 | |A|: 0.361 | R>0: 97.16% | Done: 0.00% | Sigma: 0.369 | Steps: 73728000 | Time: 5038.3s
Seed 9006 | Epoch 455/1220 | Avg R: 0.0168 | Val Loss: 0.0004 | KL: 0.0225 | LinErr: 0.829 | YawErr: 0.270 | |A|: 0.380 | R>0: 95.89% | Done: 0.00% | Sigma: 0.370 | Steps: 74547200 | Time: 5092.8s
Seed 9006 | Epoch 460/1220 | Avg R: 0.0168 | Val Loss: 0.0004 | KL: 0.0223 | LinErr: 0.825 | YawErr: 0.284 | |A|: 0.384 | R>0: 95.58% | Done: 0.01% | Sigma: 0.372 | Steps: 75366400 | Time: 5148.0s
Seed 9006 | Epoch 465/1220 | Avg R: 0.0172 | Val Loss: 0.0005 | KL: 0.0206 | LinErr: 0.818 | YawErr: 0.266 | |A|: 0.389 | R>0: 96.17% | Done: 0.01% | Sigma: 0.373 | Steps: 76185600 | Time: 5202.8s
Seed 9006 | Epoch 470/1220 | Avg R: 0.0176 | Val Loss: 0.0005 | KL: 0.0197 | LinErr: 0.798 | YawErr: 0.251 | |A|: 0.383 | R>0: 96.03% | Done: 0.00% | Sigma: 0.376 | Steps: 77004800 | Time: 5259.0s
Seed 9006 | Epoch 475/1220 | Avg R: 0.0180 | Val Loss: 0.0004 | KL: 0.0212 | LinErr: 0.785 | YawErr: 0.248 | |A|: 0.379 | R>0: 96.42% | Done: 0.00% | Sigma: 0.377 | Steps: 77824000 | Time: 5314.5s
Seed 9006 | Epoch 480/1220 | Avg R: 0.0184 | Val Loss: 0.0004 | KL: 0.0206 | LinErr: 0.771 | YawErr: 0.233 | |A|: 0.380 | R>0: 96.68% | Done: 0.00% | Sigma: 0.379 | Steps: 78643200 | Time: 5371.1s
Seed 9006 | Epoch 485/1220 | Avg R: 0.0186 | Val Loss: 0.0004 | KL: 0.0185 | LinErr: 0.764 | YawErr: 0.234 | |A|: 0.375 | R>0: 96.74% | Done: 0.00% | Sigma: 0.381 | Steps: 79462400 | Time: 5427.0s
Seed 9006 | Epoch 490/1220 | Avg R: 0.0188 | Val Loss: 0.0005 | KL: 0.0213 | LinErr: 0.751 | YawErr: 0.236 | |A|: 0.371 | R>0: 96.88% | Done: 0.00% | Sigma: 0.383 | Steps: 80281600 | Time: 5481.3s
Seed 9006 | Epoch 495/1220 | Avg R: 0.0189 | Val Loss: 0.0005 | KL: 0.0214 | LinErr: 0.748 | YawErr: 0.227 | |A|: 0.372 | R>0: 97.10% | Done: 0.00% | Sigma: 0.384 | Steps: 81100800 | Time: 5536.9s
Seed 9006 | Epoch 500/1220 | Avg R: 0.0191 | Val Loss: 0.0004 | KL: 0.0215 | LinErr: 0.741 | YawErr: 0.224 | |A|: 0.378 | R>0: 97.18% | Done: 0.00% | Sigma: 0.386 | Steps: 81920000 | Time: 5592.5s
